Nume,Functie,Dieta,Personaj
Tim Burton,director ,Flexitarian,Sirena
James Marshall,director,Vegetarian,Vampir
Gandja Monteiro,director ,Flexitarian,Om
Charles Addams,based on characters created by ,Apt,Clarvazator
Alfred Gough,writer ,Vegetarian,Om
Miles Millar,writer  ,Flexitarian,Vampir
Kayla Alpert,writer ,Vegetarian,Sirena
April Blair,writer  ,Vegetarian,Varcolac
Matt Lambert,writer  ,Vegetarian,Sirena
Jenna Ortega,actor/actress: Wednesday Addams ,Apt,Varcolac
Gwendoline Christie,actor/actress: Principal Larissa Weems ,Apt,Om
Riki Lindhome,actor/actress: Dr. Valerie Kinbott ,Flexitarian,Clarvazator
Emma Myers,actor/actress: Enid Sinclair (8 episodes 2022),Vegetarian,Sirena
Joy Sunday,actor/actress: Bianca Barclay (8 episodes 2022),Apt,Varcolac
Naomi J. Ogawa,actor/actress: Yoko Tanaka (8 episodes 2022),Flexitarian,Vampir
Christina Ricci,actor/actress: Marilyn Thornhill (8 episodes 2022),Flexitarian,Varcolac
Jamie McShane,actor/actress: Sheriff Donovan Galpin (8 episodes 2022),Flexitarian,Clarvazator
Hunter Doohan,actor/actress: Tyler Galpin (8 episodes 2022),Apt,Sirena
Percy Hynes White,actor/actress: Xavier Thorpe (8 episodes 2022),Flexitarian,Om
Georgie Farmer,actor/actress: Ajax Petropolus (8 episodes 2022),Vegetarian,Om
Johnna Dias-Watson,actor/actress: Divina (8 episodes 2022),Flexitarian,Varcolac
Oliver Watson,actor/actress: Kent (8 episodes 2022),Flexitarian,Clarvazator
Victor Dorobantu,actor/actress: Thing (8 episodes 2022),Apt,Om
Moosa Mostafa,actor/actress: Eugene Ottinger (8 episodes 2022),Apt,Varcolac
Daniel Himschoot,actor/actress: Hyde Monster (8 episodes 2022),Flexitarian,Clarvazator
Luyanda Unati Lewis-Nyawo,actor/actress: Deputy Ritchie Santiago (8 episodes 2022),Flexitarian,Om
Iman Marson,actor/actress: Lucas (8 episodes 2022),Vegetarian,Sirena
Calum Ross,actor/actress: Rowan Laslow (8 episodes 2022),Apt,Om
Cezar Grumazescu,actor/actress: Coach Vlad (8 episodes 2022),Flexitarian,Varcolac
Tommie Earl Jenkins,actor/actress: Mayor Noble Walker (8 episodes 2022),Vegetarian,Clarvazator
Catherine Zeta-Jones,actor/actress: Morticia Addams (8 episodes 2022),Vegetarian,Vampir
Morgan Beale,actor/actress: Jonah (8 episodes 2022),Flexitarian,Sirena
George Burcea,actor/actress: Lurch (8 episodes 2022),Apt,Varcolac
Islam Bouakkaz,actor/actress: Carter (8 episodes 2022),Vegetarian,Sirena
